"Timestamp","I think that I would like to use this system frequently.","I found the system unnecessarily complex.","I thought the system was easy to use.","I think that I would need the support of a technical person to be able to use this system.","I found the various functions in this system were well integrated.","I thought there was too much inconsistency in this system.","I would imagine that most people would learn to use this system very quickly.","I found the system very cumbersome to use.","I felt very confident using the system.","I needed to learn a lot of things before I could get going with this system.","session_id"
"2024/04/26 12:37:50 PM AST","1","1","1","3","3","3","4","4","3","3","0086d951-fe68-4611-aab2-a4ee420f38d6"
"2024/04/28 5:48:22 PM AST","5","1","5","1","5","1","5","1","5","1","32c867ff-7e08-4feb-aa01-fdc5b87f6dcb"
"2024/04/28 6:11:59 PM AST","3","3","5","1","4","3","4","4","5","2","98f82082-73b9-47a3-a7e1-8521d73000e8"
"2024/04/28 7:41:08 PM AST","3","3","2","4","3","3","4","4","2","3","e9be7abe-6daa-4fba-8951-9220288f8a0c"
"2024/04/28 7:50:54 PM AST","3","1","5","1","3","1","3","1","3","2","adcda72f-9b8a-463b-a32a-17d8d82bbd3b"
"2024/04/29 1:06:25 PM AST","4","2","4","2","4","2","5","3","3","2","97394878-71d6-409f-a064-a4a50c4dcfcf"
"2024/04/29 1:15:00 PM AST","3","1","5","1","3","2","5","1","4","1","66a4d07b-6d3e-48db-b47f-82565bd28e71"
"2024/04/29 1:16:57 PM AST","1","1","5","1","5","1","5","1","5","1","8d154c6c-bf24-403a-9ea2-e1a3c908ab9f"
"2024/04/29 4:05:25 PM AST","5","1","5","1","5","1","5","1","5","1","3bae970b-a864-43f8-8516-2587b663f293"
"2024/04/29 8:51:50 PM AST","2","2","4","1","5","3","5","2","4","1","388d0e88-5c1e-4989-873b-56a33033457a"
"2024/04/30 1:40:05 PM AST","3","","5","1","1","1","1","2","5","5","d349b475-e3b5-455a-a04d-17361aa3cae4"
